"1,""AG Abulkhair"",""Studi Analisis Penerapan QoS (Quality of Service) Jaringan Komputer Pada Unjuk Kerja Layanan Aplikasi IPTV"",2011,"""",""digilib.stikom.edu"",""http://digilib.stikom.edu/detil.php?id=1974"",""https://scholar.google.com/scholar?cites=9791327776485182595&as_sdt=2005&sciodt=0,5&hl=en"",53,""2019-05-17"",""HTML"","""","""","""",,,,,1,0.13,1,1,8		"
"1,""B Handaga, H Supriyono"",""Manajemen Jaringan Komputer Dengan Menggunakan Mikrotik Router (Computer Network Management Used With Microtic Router)"",2011,"""",""publikasiilmiah.ums.ac.id"",""https://publikasiilmiah.ums.ac.id/xmlui/handle/11617/1197"",""https://scholar.google.com/scholar?cites=4973099343868905764&as_sdt=2005&sciodt=0,5&hl=en"",54,""2019-05-17"","""","""","""","""",,,,,1,0.13,1,2,8		"
"1,""H Kurniawan, IF Rahmad"",""Analisa Interkoneksi Internet Protocol Security Pada Jaringan Komputer Berbasis Network Address Translation"",2011,""Medan: STMIK Potensi Utama"",""academia.edu"",""http://www.academia.edu/download/47489575/analisa_interkoneksi_internet_protocol_security__pada_jaringan_komputer_berbasis_network_address_translation.pdf"",""https://scholar.google.com/scholar?cites=13061543754806932814&as_sdt=2005&sciodt=0,5&hl=en"",55,""2019-05-17"",""PDF"","""","""","""",,,,,1,0.13,1,2,8		"
"2,""V Listanto"",""TEKNIK JARINGAN KOMPUTER Untuk SMA/SMK/MA/Umum"",2011,""PT. Prestasi Pustakaraya"","""","""",""https://scholar.google.com/scholar?cites=8150013646747535465&as_sdt=2005&sciodt=0,5&hl=en"",56,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"2,""F Ardian"",""Perancangan Jaringan Komputer Diskless Berbasis Windows–Linux Terminal Server Project (WLTSP) Pada Sistem Operasi Windows XP Professional …"",2011,""Bandung: Intitut Teknologi Telkom"","""","""",""https://scholar.google.com/scholar?cites=17390541535413627942&as_sdt=2005&sciodt=0,5&hl=en"",57,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"2,""D Daryanto"",""Teknik Jaringan Komputer"",2011,"""",""Bandung: Alfabeta"","""",""https://scholar.google.com/scholar?cites=11691391487370129752&as_sdt=2005&sciodt=0,5&hl=en"",58,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"2,""K Shadiyah"",""Simulasi Perancangan Jaringan Komputer Client Server Menggunakan Topologi Star Dan Cisco Hub Pada Packet Tracer"",2011,""Jurnal. Depok"","""","""",""https://scholar.google.com/scholar?cites=14725487421147488144&as_sdt=2005&sciodt=0,5&hl=en"",59,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"2,""I Sofana"",""Teori dan Modul Praktikum Jaringan Komputer. Bandung: Modula. Kumar Soumen Pati and Asit Kumar Das. 2013"",2011,""Constructing minimal spanning tree based on rough …"","""","""",""https://scholar.google.com/scholar?cites=8526439910946000142&as_sdt=2005&sciodt=0,5&hl=en"",60,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"2,""I Sofana"",""Jaringan Komputer. Bandung: Modula. ISBN"",2011,"""","""","""",""https://scholar.google.com/scholar?cites=12150897134369717013&as_sdt=2005&sciodt=0,5&hl=en"",61,""2019-05-17"",""CITATION"","""","""","""",,,,,2,0.25,2,1,8		"
"3,""E Suherman, AB Prasetijo"",""Simulasi Algoritma Dijkstra Pada Protokol Routing Open Shortest Path First"",2011,"""",""eprints.undip.ac.id"",""http://eprints.undip.ac.id/25828/"",""https://scholar.google.com/scholar?cites=7927785289166016559&as_sdt=2005&sciodt=0,5&hl=en"",62,""2019-05-17"","""","""","""","""",,,,,3,0.38,2,2,8		"
