Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age	
"10,""H Al Fatta, S Wibowo"",""Sistem Pakar Untuk Mendiagnosa Penyakit Telinga Hidung Tenggorokan Pada Manusia"",2010,"""",""p3m.amikom.ac.id"",""http://p3m.amikom.ac.id/p3m/dasi/juni08/05%20-%20AMIKOM_Yogyakarta_SISTEM%20PAKAR%20UNTUK%20MENDIAGNOSA%20PENYAKIT.pdf"",""https://scholar.google.com/scholar?cites=4659165959187490607&as_sdt=2005&sciodt=0,5&hl=en"",38,""2019-11-11"",""PDF"","""","""","""",,,,,10,1.11,5,2,9"	
"8,""SS Amirudin"",""Sistem pembelajaran berbasis LTSA materi gelombang dan sifat-sifatnya dengan metode problem solving"",2010,""Jurnal Teknologi Informasi"","""","""",""https://scholar.google.com/scholar?cites=6346874089193665295&as_sdt=2005&sciodt=0,5&hl=en"",39,""2019-11-11"",""CITATION"","""","""","""",,,,,8,0.89,8,1,9"	
"0,""PA Danarahmanto"",""Perbaikan Desain Perangkat Lunak Berorientasi Objek Dengan Facade Pattern"",2010,"""",""openlibrary.telkomuniversity.ac.id"",""https://openlibrary.telkomuniversity.ac.id/pustaka/95164/perbaikan-desain-perangkat-lunak-berorientasi-objek-dengan-facade-pattern.html"","""",40,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""S Lestari, R Dapi"",""PERANCANGAN PERANGKAT LUNAK SISTEM INFORMASI KEPANGKATAN PEGAWAI PERUMNAS REGIONAL IV BANDUNG"",2010,"""",""repository.widyatama.ac.id"",""https://repository.widyatama.ac.id/xmlui/handle/123456789/2130"","""",41,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,2,9"	
"0,""S Karouw"",""STUDI TINJAUAN PERBANDINGAN KIPI DAN CMMI SEBAGAI FRAMEWORK STANDAR KEMATANGAN PENGEMBANGAN INDUSTRI PERANGKAT LUNAK"",2010,""TEKNO"",""ejournal.unsrat.ac.id"",""https://ejournal.unsrat.ac.id/index.php/tekno/article/download/4197/3726"","""",42,""2019-11-11"",""PDF"","""","""","""",,,,,0,0.00,0,1,9"	
"1,""A Nugroho"",""Rekayasa Perangkat Lunak Berorientasi Objek dengan Metode USDP, CV Andi Offset, Yogyakarta, Diakses 20 Mei 2015"",2010,"""",""dari Google Books"","""",""https://scholar.google.com/scholar?cites=12096233060771688596&as_sdt=2005&sciodt=0,5&hl=en"",43,""2019-11-11"",""CITATION"","""","""","""",,,,,1,0.11,1,1,9"	
"1,""HS Oktaviani"",""Rekayasa Perangkat Lunak Berorientasi Objek"",2010,""Yogyakata: Andi Offset"","""","""",""https://scholar.google.com/scholar?cites=5468668159916512220&as_sdt=2005&sciodt=0,5&hl=en"",44,""2019-11-11"",""CITATION"","""","""","""",,,,,1,0.11,1,1,9"	
"1,""R Kustiawan, S Kom"",""Modul Rekayasa Perangkat Lunak"",2010,""STMIK AMIKOM Yogyakarta"","""","""",""https://scholar.google.com/scholar?cites=5050595102748927995&as_sdt=2005&sciodt=0,5&hl=en"",45,""2019-11-11"",""CITATION"","""","""","""",,,,,1,0.11,1,2,9"	
"1,""A Setyanto"",""Automatics Software Analisys"",2010,""Data Manajemen dan Teknologi Informasi (DASI)"",""ojs.amikom.ac.id"",""http://ojs.amikom.ac.id/index.php/dasi/article/viewFile/33/19"",""https://scholar.google.com/scholar?cites=14054104878090416043&as_sdt=2005&sciodt=0,5&hl=en"",46,""2019-11-11"",""PDF"","""","""","""",,,,,1,0.11,1,1,9"	
"0,""W Wardiana"",""Pencegah Pembajakan Perangkat Lunak dengan Menggunakan Teknik Identity-Based Encryption dan Obfuscation"",2010,""INKOM Journal"",""jurnal.informatika.lipi.go.id"",""http://jurnal.informatika.lipi.go.id/index.php/inkom/article/view/46"","""",47,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""P Mudjihartono, FKS Dewi"",""Rekayasa Pembalikan Kode Berorientasi Objek ke Desain Kelas Menggunakan Struktur Data Graf"",2010,""Jurnal Buana Informatika"",""ojs.uajy.ac.id"",""http://ojs.uajy.ac.id/index.php/jbi/article/view/301"","""",48,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,2,9"	
"10,""A Nugroho, YR Beeh…"",""Perancangan Aplikasi Rencana Anggaran Biaya (RAB)(Studi Kasus Pada Dinas Pekerjaan Umum Kota Salatiga)"",2010,""Jurnal …"",""jurnalinformatika.petra.ac.id"",""http://jurnalinformatika.petra.ac.id/index.php/inf/article/view/18046"",""https://scholar.google.com/scholar?cites=18435225021070896998&as_sdt=2005&sciodt=0,5&hl=en"",49,""2019-11-11"","""","""","""","""",,,,,10,1.11,3,3,9"	
"0,""T is Tuesday, M Kuliah, F Komputer, PF Komputer…"",""Universitas Bina Darma Peringkat 62 webometrics se-Indonesia"",2010,""Universitas"","""","""","""",50,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,5,9"	
"2,""F Masya, E Elvina"",""Pengembangan Aplikasi Permainan Scrabble Dua Bahasa Menggunakan Java"",2010,""CommIT (Communication and Information …"",""journal.binus.ac.id"",""https://journal.binus.ac.id/index.php/commit/article/view/547"",""https://scholar.google.com/scholar?cites=1643127926529583391&as_sdt=2005&sciodt=0,5&hl=en"",51,""2019-11-11"","""","""","""","""",,,,,2,0.22,1,2,9"	
"0,""T is Tuesday, M Kuliah, F Komputer, PF Komputer…"",""KEAMANAN WIRELESS LAN: TEKNIK PENGAMANAN ACCESS POINT"",2010,""Universitas"","""","""","""",52,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,5,9"	
